PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2041,"Graders and Sorters, Agricultural Products",detailed,480,49.5,0.294,1.05,15.14,31490,5.9,11.25,11.6,14.27,18.28,21.21,23400,24140,29680,38030,44120,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,850,25.1,0.517,0.26,13.8,28700,3.5,11.22,11.61,12.66,14.97,18.07,23330,24150,26340,31140,37590,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,230,32.2,0.139,0.56,16.54,34410,6.7,12,13.27,15.17,20.3,22.88,24950,27590,31560,42220,47590,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2099,"Agricultural Workers, All Other",detailed,**,**,**,**,20.78,43230,12,13.2,14.74,18.24,25.63,34.35,27450,30650,37940,53320,71440,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-4011,Forest and Conservation Workers,detailed,100,13.4,0.06,1.21,12.73,26480,7.7,9.64,9.64,9.65,14.6,19.25,20050,20060,20070,30370,40040,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-4022,Logging Equipment Operators,detailed,80,12.2,0.047,0.26,26.56,55240,5.7,19.99,22.47,26.58,29.67,32.03,41570,46740,55290,61710,66630,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",47-0000,Construction and Extraction Occupations,major,72090,2.1,43.76,1.09,29.92,62230,1.5,16.27,20.59,27.88,38.13,47.65,33830,42830,58000,79320,99120,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,6350,5.4,3.853,0.99,39.15,81430,2,23.41,29.15,38.93,48.44,57.78,48680,60630,80970,100750,120170,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",47-2011,Boilermakers,detailed,**,**,**,**,28.2,58660,4.4,25.75,26.78,28.51,29.86,30.91,53560,55710,59300,62110,64290,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",47-2021,Brickmasons and Blockmasons,detailed,710,17.2,0.431,0.95,*,*,*,*,*,*,*,*,*,*,*,*,*,,
